Number;Serial_number;Chip;Tag;Old_collar;Canyon;Group;Sex;Weight;Date_on;Date_off;Seconds_off;Daily_offset;Data_points;Comments
1;8414;;UZ;;;;;;;;;;;
2;8406;218340;JN;None;Arugot;Bachelor;M;2.4;20/04/2017 12:43;16/08/2017 09:45;2;0,016966926;331;
3;8407;216968;FJ;None;David;Window;M;3.35;05/06/2017 09:00;22/05/2018 12:00;-1743474;-4965,39409;4840;Out of battery, retreivd in May 2018, Dudim Cave, David
4;8408;203581;HW;None;Arugot;Isiim;M;3.1;15/05/2017 11:30;09/05/2018 10:30;1174498;3271,961927;11293;Out of battery
5;8409;202523;QY;None;David;Window;M;2.05;11/06/2017 19:22;;;;;
6;8410;217579;EL;None;David;Window;F;1.8;05/06/2017 10:47;06/06/2018 10:00;-711761;-1944,875625;7378;Out of battery
7;8411;203123;ZK;Y2;Arugot;Bachelor;M;3.4;10/05/2017 10:55;18/08/2017 09:00;7;0,070055947;513;
8;8412;204399;DB;G3;Arugot;Cube;F;2.67;18/04/2017 11:00;16/04/2018 18:00;-801805;-2207,055855;8739;Out of battery
9;8413;203478;TD;F1;David;Hill;F;2;05/06/2017 09:57;24/04/2018 10:30;-52023;-161,0504931;5752;Out of battery
10;8405;;CJ;;;;;;;;;;;
11;8415;218646;DK;E5;Arugot;Isiim;F;2.3;14/05/2017 11:05;19/08/2017 09:00;62;0,63974777;4165;
12;8416;219204;FB;None;David;Bachelor;M;2.85;13/06/2017 19:25;06/09/2017 00:09;51;0,605720695;408;
13;8417;202000;NP;B9;David;Hill;F;1.95;05/06/2017 09:15;18/08/2017 08:45;-16;-0,216277105;1634;
14;8418;217888;LR;M7;Arugot;Bachelor;M;3.05;10/05/2017 10:00;09/03/2018 18:00;-1326780;-4374;296;Out of battery
15;8419;;NX;;;;;;;;;;;
16;8420;;BC;;;;;;;;;;;
17;8421;203828;NU;None;Arugot;Sukkot;F;2.3;21/04/2017 17:00;;;;;
18;8435;216973;RF;None;Arugot;Bachelor;M;2.2;24/06/2017 10:17;;;;;
19;8423;4390;KS;J0;David;Window;F;2.2;05/06/2017 11:21;22/08/2017 09:00;42;0,539138341;1330;
20;8424;216893;EP;None;David;Bachelor;M;2.9;16/06/2017 19:03;;;;;
21;8425;218271;YE;None;Arugot;Bachelor;M;2.5;20/04/2017 18:04;29/08/2017 09:00;76;0,581830555;394;
22;8426;203820;PS;K9;Arugot;Sukkot;F;2.475;29/05/2017 19:43;01/01/2018 12:00;-2117438;-9772,258306;1073;Out of battery, retreived in January 2018, upper pools Arugot
23;8427;217145;LC;None;Arugot;Sukkot;F;2.57;18/04/2017 13:24;23/08/2017 09:00;-28;-0,220791168;3049;
24;8428;202177;BL;None;Arugot;Isiim;F;2.4;17/05/2017 18:35;20/03/2018 11:00;1638580;5342,893179;9135;Out of battery, since 7th of February 2018
25;8429;218507;FY;None;Arugot;Sukkot;F;1.75;30/04/2017 10:43;29/08/2017 09:00;109;0,901359275;3780;
26;8430;204510;AE;Q8;Arugot;Bachelor;M;3.05;15/05/2017 10:07;16/05/2018 10:00;1779636;4862,458024;632;Out of battery
27;8431;203046;HL;C0;Arugot;Cube;F;2.6;20/04/2017 17:00;;;;;
28;8432;;GN;;;;;;;;;;;
29;8433;203694;XF;Z5;Arugot;Cube;M;2.96;18/04/2017 11:35;13/08/2017 07:00;-75;-0,64207366;4988;
30;8434;;UE;;;;;;;;;;;
31;8422;;EC;;;;;;;;;;;
32;8436;216956;RW;None;David;Hill;F;2.1;06/06/2017 09:00;;;;;
33;8437;202119;KU;L7;Arugot;Isiim;F;2.55;17/05/2017 12:30;15/11/2017 09:00;-3717;-20,43945469;8087;
34;8438;219789;ZA;None;Arugot;Bachelor;M;2.85;20/04/2017 17:00;;;;;
35;8439;;TJ;;;;;;;;;;;
36;8440;203770;JA;None;David;Window;F;1.85;05/06/2017 09:00;23/04/2018 10:30;51774;160,7576169;7342;Out of battery
37;8441;;WD;;;;;;;;;;;
38;8442;219247;JQ;None;Arugot;Sukkot;M;2.95;30/05/2017 18:45;;;;;
39;8443;203847;PT;None;Arugot;Bachelor;M;2.95;18/04/2017 10:30;17/11/2017 09:00;-3677;-17,26797769;158;
40;8444;219673;AK;None;David;Bachelor;M;2.8;05/06/2017 11:53;11/07/2017 09:00;-12;-0,334449455;13;
41;;;Basestation;;;;;;;;;;;
42;;;Basestation;;;;;;;;;;;
43;;;Basestation;;;;;;;;;;;
44;;;Basestation;;;;;;;;;;;
45;;;Basestation;;;;;;;;;;;
46;;;Basestation;;;;;;;;;;;
47;;;Basestation;;;;;;;;;;;
48;;;Basestation;;;;;;;;;;;
49;;;Basestation;;;;;;;;;;;
50;;;Basestation;;;;;;;;;;;